,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,STATION_NAME
784372,4298378,927022497,01/10/2019,FRAUDS,COMPLETED,MISDEMEANOR,MANHATTAN,990886.0,213048.0,40.751449824000076,-73.97605054499998,"(40.751449824000076, -73.97605054499998)",42 ST.-GRAND CENTRAL
784377,4298384,904472829,01/10/2019,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,MANHATTAN,986848.0,212883.0,40.75099904800004,-73.99062471199994,"(40.75099904800004, -73.99062471199994)",34 ST.-PENN STATION
784394,4298404,899649570,01/03/2019,OFFENSES AGAINST THE PERSON,COMPLETED,MISDEMEANOR,MANHATTAN,1000414.0,230243.0,40.79863330000006,-73.94162037099994,"(40.79863330000006, -73.94162037099994)",116 STREET
784397,4298407,584728767,01/06/2019,FELONY ASSAULT,COMPLETED,FELONY,BRONX,1004369.0,237509.0,40.818568337000045,-73.92731394599997,"(40.818568337000045, -73.92731394599997)",149 ST.-GRAND CONCOURSE
784413,4298426,543586752,01/14/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,1003744.0,192077.0,40.693870514000025,-73.92970371199993,"(40.693870514000025, -73.92970371199993)",KOSCIUSKO STREET
784453,4298469,740927626,01/11/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,986061.0,213320.0,40.75219869800003,-73.99346504499994,"(40.75219869800003, -73.99346504499994)",34 ST.-PENN STATION
784463,4298479,645036314,01/15/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,989780.0,218177.0,40.765528380000035,-73.98003814399993,"(40.765528380000035, -73.98003814399993)",57 STREET
784478,4298497,182506351,01/09/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,988954.0,186078.0,40.677424845000075,-73.98304243299998,"(40.677424845000075, -73.98304243299998)",UNION STREET
784482,4298501,156527510,01/04/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,998243.0,176387.0,40.65081538800007,-73.94957355099997,"(40.65081538800007, -73.94957355099997)",CHURCH AVENUE
784494,4298514,290041899,01/01/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,986626.0,205180.0,40.72985628600002,-73.99142867599994,"(40.72985628600002, -73.99142867599994)",ASTOR PLACE
784496,4298516,898103195,01/04/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,989756.0,159760.0,40.60518710900004,-73.98017251099995,"(40.60518710900004, -73.98017251099996)",KINGS HIGHWAY
784549,4298584,507452451,01/14/2019,GRAND LARCENY,COMPLETED,FELONY,BRONX,1004749.0,240880.0,40.827819901000055,-73.92593075599996,"(40.827819901000055, -73.92593075599996)",161 ST.-YANKEE STADIUM
784556,4298597,695851644,01/07/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,1012791.0,238814.0,40.822126997000055,-73.89688075599996,"(40.822126997000055, -73.89688075599996)",INTERVALE AVENUE
784574,4298620,774022611,01/10/2019,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,MANHATTAN,988650.0,214286.0,40.754849215000036,-73.98411999099994,"(40.754849215000036, -73.98411999099994)",42 STREET
784603,4298659,316141545,01/09/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,1026480.0,262584.0,40.88731363400007,-73.84727175799998,"(40.88731363400007, -73.84727175799998)",GUN HILL ROAD
784639,4298702,658841188,01/06/2019,FELONY ASSAULT,COMPLETED,FELONY,MANHATTAN,1001575.0,232339.0,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",125 STREET
784670,4298737,973634162,01/04/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,1032091.0,241976.0,40.83072232800004,-73.82712605899997,"(40.83072232800004, -73.82712605899997)",EAST TREMONT AV.-WESTCHESTER S
784675,4298745,201438864,01/14/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,1031307.0,216054.0,40.759577798000066,-73.83014069999997,"(40.759577798000066, -73.83014069999997)",MAIN ST.-FLUSHING
784700,4298776,889813700,01/03/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,MANHATTAN,982285.0,201682.0,40.72025522300004,-74.00709027999993,"(40.72025522300004, -74.00709027999993)",BOWLING GREEN
784712,4298790,538264324,01/06/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,985733.0,203753.0,40.725939713000045,-73.99465099599996,"(40.72593971300005, -73.99465099599996)",BLEECKER STREET
784776,4298871,394629573,01/01/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,BRONX,1004749.0,240880.0,40.827819901000055,-73.92593075599996,"(40.827819901000055, -73.92593075599996)",161 ST.-YANKEE STADIUM
784832,4298934,285934645,01/11/2019,FORGERY,COMPLETED,FELONY,BRONX,1007034.0,236608.0,40.81608887400005,-73.917688689,"(40.81608887400005, -73.917688689)",3 AVENUE-149 STREET
784842,4298946,645628454,01/08/2019,SEX CRIMES,COMPLETED,FELONY,BROOKLYN,989013.0,192652.0,40.69546894100006,-73.98282507899995,"(40.69546894100006, -73.98282507899995)",PACIFIC STREET
